,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
1923,6455 s newcastle way,80016,Aurora,CO,39.599439000000004,-104.687311,SingleFamily,3.0,609359.0,01/08/2020,2900.0,1450.0,4350.0,21327.565000000002,588031.4349999999,0.0366,0.01,30,12,0.008,0.005,1793.49587675,807.0731445375,2600.5690212874997,406.2393333333334,253.89958333333334,490.0261958333333,3750.7341337874996,100,100,100,300,4050.7341337874996,20000,12187.18,53514.745,299.26586621250044,9684.87773445,36561.54,1.256431440138601
1466,1210 gillaspie dr,80305,Boulder,CO,39.977752,-105.248244,SingleFamily,4.0,853454.0,01/08/2020,3250.0,1083.3333333333333,4333.333333333333,29870.890000000003,823583.11,0.0366,0.01,30,12,0.008,0.005,2511.9284855,1130.3678184750001,3642.2963039750002,568.9693333333333,355.60583333333335,686.3192583333333,5253.190728975,100,100,100,300,5553.190728975,20000,17069.08,66939.97,-1219.8573956416667,13564.413821700002,51207.24,0.9431340509115854
56,7222 s blackhawk st,80112,Englewood,CO,39.583393,-104.824235,MultiFamily2To4,2.0,401771.0,01/08/2020,1610.0,1610.0,3220.0,14061.985,387709.015,0.0366,0.01,30,12,0.008,0.005,1182.51249575,532.1306230875,1714.6431188375,267.8473333333333,167.40458333333333,323.09084583333333,2472.9858813375,100,100,100,300,2772.9858813375,20000,8035.42,42097.405,447.0141186625001,6385.56747705,24106.26,1.310674539226349
1372,"1545 patton cir,",80303,Boulder,CO,40.013458,-105.229522,Condominium,2.0,411622.0,01/08/2020,2000.0,2000.0,4000.0,14406.770000000002,397215.23,0.0366,0.01,30,12,0.008,0.005,1211.5064515,545.177903175,1756.684354675,274.4146666666667,171.5091666666667,331.0126916666666,2533.620879675,100,100,100,300,2833.620879675,20000,8232.44,42639.21000000001,1166.3791203249998,6542.1348381,24697.32,1.6237637677152081
325,7920 s jasmine cir,80112,Centennial,CO,39.57271,-104.918752,SingleFamily,4.0,588630.0,01/08/2020,2710.0,903.3333333333334,3613.3333333333335,20602.050000000003,568027.95,0.0366,0.01,30,12,0.008,0.005,1732.4852474999998,779.618361375,2512.1036088749997,392.42,245.26250000000002,473.35662499999995,3623.1427338749995,100,100,100,300,3923.1427338749995,20000,11772.6,52374.65,-309.80940054166604,9355.4203365,35317.799999999996,0.9889423133137882
1475,3669 silverton st,80301,Boulder,CO,40.041540000000005,-105.25233700000001,SingleFamily,3.0,1176437.0,01/08/2020,4072.0,2036.0,6108.0,41175.295000000006,1135261.705,0.0366,0.01,30,12,0.008,0.005,3462.5482002500007,1558.1466901125004,5020.694890362502,784.2913333333335,490.18208333333337,946.0514208333334,7241.219727862502,100,100,100,300,7541.219727862502,20000,23528.74,84704.035,-1433.2197278625017,18697.760281350005,70586.22,1.1394657119581137
231,6404 s jericho cir,80016,Centennial,CO,39.599990000000005,-104.752881,SingleFamily,5.0,534035.0,01/08/2020,2699.0,674.75,3373.75,18691.225000000002,515343.77499999997,0.0366,0.01,30,12,0.008,0.005,1571.79851375,707.3093311875,2279.1078449375,356.0233333333333,222.51458333333335,429.45314583333334,3287.0989074375,100,100,100,300,3587.0989074375,20000,10680.7,49371.925,-213.3489074375002,8487.71197425,32042.1,0.9330530475568856
1681,5160 s shalom park cir,80015,Aurora,CO,39.62214,-104.814643,SingleFamily,2.0,411256.0,01/08/2020,1995.0,1995.0,3990.0,14393.960000000001,396862.04,0.0366,0.01,30,12,0.008,0.005,1210.429222,544.6931499,1755.1223719,274.1706666666667,171.35666666666668,330.71836666666667,2531.3680719,100,100,100,300,2831.3680719,20000,8225.12,42619.08,1158.6319281,6536.3177988,24675.36,1.6202898076636099
728,1220 e 90th ave,80229,Thornton,CO,39.859021999999996,-104.97140800000001,SingleFamily,4.0,325272.0,01/08/2020,1975.0,658.3333333333334,2633.3333333333335,11384.52,313887.48,0.0366,0.01,30,12,0.008,0.005,957.3568139999999,430.81056629999995,1388.1673802999999,216.84799999999998,135.53,261.5729,2002.1182802999997,100,100,100,300,2302.1182802999997,20000,6505.4400000000005,37889.96,331.2150530333338,5169.7267956,19516.32,0.9649159680295257
1647,2445 s xanadu way b,80014,Aurora,CO,39.672278000000006,-104.830691,Condominium,2.0,222955.0,01/08/2020,1495.0,1495.0,2990.0,7803.425000000001,215151.57499999998,0.0366,0.01,30,12,0.008,0.005,656.2123037499999,295.2955366875,951.5078404374999,148.63666666666668,92.89791666666667,179.29297916666667,1372.3354029375,100,100,100,300,1672.3354029375,20000,4459.1,32262.525,1317.6645970625,3543.5464402499997,13377.3,1.5706402894689737
